UID,Name,Link (only from pdb),CID,Source,Description (only from pdb),Event Childhood,Event Teenage,Event Pre-Hero,Event Hero (1),Event Hero (2),Event Hero (3),Dilemma(1) Save One or Save Many,Dilemma (2) Hero or Villain?,Dilemma(3) Reveal Identity or Protect Loved Ones,Dilemma(4) Join or Fight Against the Government,True event,Human label,annotation
12,Peter Quill “Star-Lord”,https://www.personality-database.com/profile/2013/peter-quill-starlord-marvel-comics-mbti-personality-type,2013,"['Marvel Comics', 'Disney Infinity ']","Peter Jason Quill, better known by his alias Star-Lord, is a Marvel Comics character created by Steve Englehart and Steve Gan, first showing up in Marvel Preview #4 (January 1976).

Described by co-creator Englehart as ""an unpleasant, introverted jerk"" who becomes ""the most cosmic being in the universe,"" Star-Lord was a product of Englehart's newfound interest in astronomy at the time. Fans of the character's current iteration reading this might laugh at how much he's changed since. In any event, Peter was originally presented as an arrogant, anti-social astronaut who accidentally became an outer space badass, and only some of those qualities have been retained through the years.","""In 1988, after the death of his mother, young Peter Quill is faced with a life-changing decision. Which choice leads him to become the intergalactic adventurer known as Star-Lord?""
A) Stay on Earth and live with his grandfather.
B) Run away and join a group of space pirates called the Ravagers.
C) Enroll in a space academy to become a pilot.
D) Seek revenge against those responsible for his mother's death.","""As a teenager, you pursued a path that would take you beyond Earth. When you discovered the truth about your father’s alien origin, you decided to...""
A) Reject your heritage and focus on Earth life
B) Train to become an astronaut to reach the stars
C) Obsessively research alien life in secret
D) Seek out your father, no matter the cost","""As a NASA trainee, you finally found your way into space but ended up stranded. When faced with this life-altering moment, your first instinct was to...""
A) Find a way to return to Earth
B) Embrace your new reality and adapt
C) Seek revenge against those responsible for your hardships
D) Steal a ship and forge your own path","""Now known as Star-Lord, you discovered the Element Gun, a powerful weapon tied to your destiny. Your first thought upon wielding it was...""
A) ""This is my chance to become a legend.""
B) ""I have to be careful with this power.""
C) ""How much is this worth on the black market?""
D) ""Time to take down the people who ruined my life.""","""You became a cosmic protector, but your past caught up with you when the Spartoi Empire demanded your allegiance. Your immediate response was...""
A) Refusing to be controlled by them
B) Pretending to play along while plotting escape
C) Accepting, thinking you could change things from within
D) Destroying any connection to your royal bloodline","""After forming the Guardians of the Galaxy, you finally had a team you could trust. But when a mission required you to sacrifice yourself to save them, your final decision was...""
A) Accepting your fate without hesitation
B) Finding a last-minute trick to survive
C) Letting them go, believing they could manage
D) Fighting until your last breath, refusing to give up",,,,,,,
13,Natasha Romanoff “Black Widow”,https://www.personality-database.com/profile/2005/natasha-romanoff-black-widow-marvel-comics-mbti-personality-type,2005,"['Marvel Comics', 'Marvel vs. Capcom']","Natalia Alianovna Romanova (Russian: Наталья Альяновна ""Наташа"" Романова; alias: Natasha Romanoff; Russian: Наташа Романофф), colloquial: Black Widow (Russian: Чёрная Вдова; transliterated Chyornaya Vdova) is a fictional superhero appearing in American comic books published by Marvel Comics. Created by editor and plotter Stan Lee, scripter Don Rico, and artist Don Heck, the character debuted in Tales of Suspense #52 (April 1964). The character was introduced as a Russian spy, an antagonist of the superhero Iron Man.","""During her Red Room training, young Natasha Romanoff is ordered to eliminate a target who is revealed to be an innocent civilian. What decision does she make?""
A) She refuses to carry out the order and helps the civilian escape, risking punishment.
B) She follows the order without question, prioritizing her mission.
C) She reports the situation to her superiors and awaits further instructions.
D) She fakes the civilian's death and secretly ensures their safety.","""Your training in the Red Room pushed you beyond human limits. When faced with a test that required eliminating a fellow trainee, your decision was to...""
A) Follow orders without hesitation
B) Hesitate but ultimately obey
C) Refuse, knowing the consequences
D) Secretly help them escape
","""After years of serving as an elite assassin for the KGB, you were ordered to eliminate a high-value target. However, when you learned they were innocent, you...""
A) Followed orders, believing it wasn’t your decision
B) Hesitated but completed the mission
C) Let them live and fabricated a cover story
D) Defected, realizing you had been used","""Defecting from the Soviet Union, you found yourself working with S.H.I.E.L.D. and earning their trust. Your first major mission required you to...""
A) Take down a dangerous Soviet spy ring
B) Work alongside Hawkeye, despite your past
C) Infiltrate an enemy organization as a double agent
D) Prove your loyalty by revealing Soviet secrets","""As a member of the Avengers, you faced threats beyond anything in your Red Room training. When confronted with an enemy you couldn’t outfight, your instinct was to...""
A) Outsmart them with strategy
B) Use manipulation to gain the upper hand
C) Call in reinforcements before engaging
D) Take a risk and fight anyway","""After years of espionage, redemption, and sacrifice, you were given a choice: continue as a hero or disappear and live in peace. Your final decision was to...""
A) Stay and fight, knowing it’s who you are
B) Walk away, leaving the past behind
C) Fake your death and work from the shadows
D) Train the next generation of spies

",,,,,,,
13,"Natasha Romanoff ""Black Widow""",https://www.personality-database.com/profile/383180/natasha-romanoff-black-widow-what-if-2021-mbti-personality-type,383180,['What If...? (2021)'],"Natalia Alianovna ""Natasha"" Romanoff (Russian: Наталья Алиановна ""Наташа"" Романова), also known as Black Widow, was a special agent of S.H.I.E.L.D. and one of the candidates for the Avengers Initiative. After she was framed for the murder of Tony Stark, Romanoff escaped S.H.I.E.L.D. and went on her own mission to pursue the man responsible for the killing. The murderer, Hank Pym, managed to kill Romanoff, as he did to all other Avengers candidates, but not before she disclosed the truth to Nick Fury.

#WhatIfShow #WhatIfMarvel #LakeBell #NatashaRomanoff #NataliaAlianovnaRomanoff #BlackWidowMarvel","""Growing up in the Red Room, you were trained to be one of the world's deadliest spies. When you first realized that your life was controlled by the program, you felt...""
A) Determined to excel despite the conditions
B) Trapped but unwilling to show weakness
C) Resigned to your fate as a weapon
D) Secretly hoping for a way out","""During your teenage years, you completed your first major assassination mission. Looking back, you...""
A) Felt proud of your precision and skill
B) Began questioning your loyalty to the Red Room
C) Accepted it as just another mission
D) Felt regret but knew you had no choice

","""After defecting from the Soviet Union and joining S.H.I.E.L.D., you worked as a spy alongside Nick Fury. When you learned about the Avengers Initiative, your first thought was...""
A) A chance for redemption through heroism
B) Skepticism, doubting that a team could succeed
C) Excitement to be part of something bigger
D) Concern that it was just another manipulation

","""Framed for the murder of Tony Stark, you went into hiding. Your first move was to...""
A) Investigate the truth and clear your name
B) Contact Nick Fury for backup
C) Hunt down the real killer before they struck again
D) Escape and disappear before S.H.I.E.L.D. caught you

","""While tracking the true murderer, you discovered that Hank Pym was behind the killings. When you realized you were his next target, you...""
A) Warned Nick Fury before it was too late
B) Attempted to fight him head-on
C) Tried to outmaneuver him using spy tactics
D) Set a trap, hoping to take him down

","""Before your final fight, you managed to leave a message for Fury, revealing the truth. Your last thought was...""
A) Relief, knowing you exposed the villain
B) Frustration that you couldn’t finish the mission
C) Pride in ensuring the Avengers' legacy would continue
D) Regret that you didn’t see the bigger picture sooner",,,,,,,
14,"Stephen Strange ""Doctor Strange""",https://www.personality-database.com/profile/4345/stephen-strange-doctor-strange-mcu-the-heroes-mbti-personality-type,4345,"['MCU: The Heroes', 'Spider-Man : No Way Home']","An expert neurosurgeon whose career ended abruptly when an injury sustained during a car crash destroyed the nerves in his hands. He eventually sought out the Ancient One in search of a cure for his condition, only to become her latest disciple in the Mystic Arts. Strange eventually becomes the master of the Sanctum Sanctorum in New York City, one of three seals that protect Earth from magical and extra-dimensional threats.","""As a child, you were highly intelligent and naturally gifted. When faced with a challenge, your typical response was to...""
A) Study obsessively until you mastered it
B) Give up if it didn’t come easily
C) Seek help from others to understand it
D) Ignore it, focusing on things that interested you","""During your teenage years, you began developing an ego as you realized your intelligence set you apart from others. When someone challenged your knowledge, you...""
A) Proved them wrong with confidence
B) Mocked them for questioning you
C) Listened but rarely admitted being wrong
D) Ignored them, believing you were above it","""As a brilliant neurosurgeon, you built a reputation for your skill and arrogance. When faced with a case you weren’t sure you could handle, you...""
A) Took it anyway, refusing to admit doubt
B) Passed it on, not risking your perfect record
C) Studied every possible method to succeed
D) Took the challenge but blamed others if it failed","""After a devastating car accident, your hands were left permanently damaged. When traditional medicine failed, you...""
A) Searched desperately for experimental treatments
B) Accepted your fate, but with bitterness
C) Turned to self-pity and anger
D) Began seeking answers beyond science","""Traveling to Kamar-Taj, you met the Ancient One and discovered the Mystic Arts. Your first reaction to magic was...""
A) Disbelief, refusing to accept it
B) Fascination, eager to learn more
C) Skepticism, but willing to explore it
D) Frustration, wanting instant results","""As the new Sorcerer Supreme, you now protect Earth from mystical threats. When faced with a powerful enemy, your strategy is usually to...""
A) Outsmart them with magical knowledge
B) Confront them head-on, using raw power
C) Negotiate before resorting to combat
D) Manipulate time to shift the odds",,,,,,,
14,Stephen Strange “Doctor Strange”,https://www.personality-database.com/profile/2011/stephen-strange-doctor-strange-marvel-comics-mbti-personality-type,2011,"['Marvel Comics', 'Marvel vs. Capcom']","A brilliant but arrogant New York surgeon, Dr. Stephen Strange's life was turned upside down when a car crash caused irreparable nerve damage to his hands, preventing him from ever holding a scalpel again. Driven by arrogance and desperation, he traveled the world in search of a cure, finally arriving in Tibet to seek the help of the Ancient One, a powerful wizard and (unbeknownst to him) the Sorcerer Supreme, the mage charged with protecting the Earth from the otherdimensional Cosmic menaces who would threaten it.

Sensing his great magical potential, the Ancient One asked Strange to become his new apprentice, and the now humbled Strange accepted.

After years of study, he moved back to New York and engaged in many mystical adventures and fought many wicked foes, including the vengeful Mordo, the Dread Dormammu and the abominable Shuma-Gorath, who caused the death of the Ancient One, leading to Strange inheriting his title and responsibilities","""From a young age, you displayed an incredible intellect and steady hands, making you destined for greatness. When faced with competition, you...""
A) Saw it as motivation to be the best
B) Ignored it, knowing you were superior
C) Felt threatened and sought to outshine them
D) Relied on charm to win people over","""As a teenager, you became more focused on your ambitions and success. When your family needed you, your response was...""
A) Prioritizing your career over personal matters
B) Helping reluctantly, feeling burdened
C) Balancing both but favoring your own goals
D) Completely ignoring them, focusing on yourself","""After losing the ability to perform surgery due to a car accident, you searched for a cure. When modern medicine failed, you...""
A) Refused to accept it, spiraling into desperation
B) Became obsessed with finding alternative solutions
C) Tried to return to your old life despite your condition
D) Resented everyone who tried to help you","""Arriving in Tibet, you sought the help of the Ancient One, but he refused to heal your hands. Your initial reaction was to...""
A) Dismiss him as a fraud and demand answers
B) Accept his teachings, hoping for a cure
C) Question everything, unable to believe in magic
D) Plan to leave, until you saw proof of his power","""Training in the Mystic Arts, you discovered Baron Mordo’s treachery. When he tried to betray the Ancient One, you...""
A) Alerted the Ancient One immediately
B) Confronted Mordo and demanded the truth
C) Kept quiet, hoping to learn more first
D) Waited for the right moment to expose him","""After the Ancient One’s death, you became Sorcerer Supreme and faced Dormammu. Your strategy in stopping him was to...""
A) Challenge him directly in combat
B) Outsmart him using magical trickery
C) Bargain with him to save Earth
D) Use forbidden magic, despite the risks
",,,,,,,
14,"Stephen Strange ""Doctor Strange Supreme""",https://www.personality-database.com/profile/388252/stephen-strange-doctor-strange-supreme-what-if-2021-mbti-personality-type,388252,"['What If...? (2021)', 'MCU: The Antiheroes']","Doctor Stephen Vincent Strange M.D., Ph.D. is the Sorcerer Supreme and a Master of the Mystic Arts. Strange became hellbent on resurrecting his late girlfriend Christine Palmer after she died in a car accident.

#WhatIfShow #WhatIfMarvel #BenedictCumberbatch #StephenStrange #DoctorStrange #DoctorStrangeSupreme","""As a child, you were gifted with intelligence and precision, setting you apart from others. When you made a mistake, your typical reaction was...""
A) Fixing it immediately, refusing to fail
B) Blaming external factors instead of yourself
C) Accepting it as a learning experience
D) Obsessing over it, unable to move on","""During your teenage years, your ambition became clear. When someone outperformed you, your response was...""
A) Working harder to surpass them
B) Feeling bitter but hiding it
C) Ignoring them, believing you were still superior
D) Looking for flaws in their success","""Your life changed forever when a tragic car accident took Christine Palmer's life. In your grief, you...""
A) Searched desperately for a way to bring her back
B) Tried to move on, but struggled deeply
C) Shut yourself off from the world
D) Became obsessed with defying fate

","""As Sorcerer Supreme, you learned the natural laws of the universe. When told that Christine’s death was an Absolute Point, meaning it could not be changed, you...""
A) Refused to accept it and sought forbidden knowledge
B) Accepted it but never stopped grieving
C) Tried to find loopholes in the laws of time
D) Tested small spells to see if they could alter fate

","""You began absorbing mystical beings to increase your power, knowing the risks. When your reflection warned you to stop, you...""
A) Ignored it, convinced you were doing the right thing
B) Hesitated, but ultimately continued
C) Considered stopping, but your obsession won
D) Destroyed your reflection, silencing doubt","""After realizing that your actions doomed the universe, you were left alone in a collapsing void. Your final thought was...""
A) Regret, realizing you had been wrong all along
B) Anger, blaming the universe for its cruelty
C) Acceptance, knowing this was your punishment
D) Hope, believing there was still a way to fix things",,,,,,,
14,Steven Strange,https://www.personality-database.com/profile/133165/steven-strange-dr-strange-1978-mbti-personality-type,133165,['Dr. Strange (1978)'],"Steven Strange is the main character of the superhero movie of the same name Dr. Strange (1978).
He is a very kind and proud lifesaver that works as a Doctor for the smiles of his patients.
Once he randomly crosses the old guy (his future mentor), he becomes the most powerful Sorcerer Supreme Doctor Strange.
Just like everyone else in the movie, he has very vague mysterious magical powers that he shall use to defeat Dormammu.","""As a child, you were known for your kindness and intelligence. When someone needed help, your first instinct was to...""
A) Assist them immediately, no matter what
B) Evaluate if they truly needed help first
C) Let someone else handle it
D) Ignore it, focusing on your own path","""During your teenage years, you became more confident in your abilities. When people praised you for your medical knowledge, you...""
A) Humbly accepted but kept working harder
B) Proudly acknowledged that you were the best
C) Used the praise as motivation to do more
D) Brushed it off, believing it was just expected","""As a doctor, you took great pride in saving lives. One day, after encountering a mysterious old man, he told you that you had a greater destiny. Your reaction was to...""
A) Dismiss him as a delusional stranger
B) Laugh it off but remain curious
C) Listen carefully, intrigued by his words
D) Immediately believe him and seek answers

","""After meeting your future mentor, you began learning magic despite its vague and mysterious nature. Your first attempt at casting a spell resulted in...""
A) A completely unexpected magical effect
B) A minor success, but with no explanation why
C) A powerful burst of energy you couldn't control
D) A total failure, leaving you confused

","""As you embraced your destiny as Sorcerer Supreme, Dormammu emerged as a threat. Your first move was to...""
A) Confront him with whatever magic you could muster
B) Try to understand his vague, mysterious power
C) Call upon your mentor for advice
D) Confidently assume you had the power to stop him","""With the fate of reality at stake, you stood against Dormammu. Your final strategy to stop him was to...""
A) Use unexplained, yet effective, magical abilities
B) Channel raw magical energy with no clear rules
C) Hope that sheer willpower would be enough
D) Trust in the power of kindness and belief",,,,,,,
14,Stephen Strange “Doctor Strange” (Temporal Paradox),https://www.personality-database.com/profile/398132/stephen-strange-doctor-strange-temporal-paradox-what-if-2021-mbti-personality-type,398132,['What If...? (2021)'],"Doctor Stephen Vincent Strange M.D., Ph.D. was the Sorcerer Supreme and a Master of the Mystic Arts during a time paradox. He was separated from an alternate version of himself by the Ancient One and was tasked with stopping him from breaking an Absolute Point. He was ultimately defeated and absorbed into the corrupted Strange.

#WhatIfShow #WhatIfMarvel #BenedictCumberbatch #StephenStrange #DoctorStrange","""As a child, you always sought knowledge and perfection. When faced with failure, your response was to...""
A) Learn from your mistakes and try again
B) Push yourself harder, refusing to accept defeat
C) Blame external factors for your failure
D) Avoid trying again to protect your ego","""During your teenage years, your intelligence and skill set you apart from others. When someone doubted you, you...""
A) Ignored them, knowing you were right
B) Took it as motivation to prove them wrong
C) Corrected them with confidence
D) Mocked them for questioning your abilities","""After losing Christine Palmer in a tragic accident, you struggled with grief. When told that her death was an Absolute Point in time, you...""
A) Accepted it, knowing some things can't be changed
B) Searched for another way to bring her back
C) Ignored the warning and sought forbidden knowledge
D) Fell into despair, questioning your purpose","""After the Ancient One split you from your darker half, you were tasked with stopping him from breaking an Absolute Point. Your first approach was to...""
A) Try reasoning with him, appealing to his emotions
B) Fight him directly, knowing he was too dangerous
C) Attempt to use magic to counter his growing power
D) Seek guidance from mystical forces beyond your world","""Despite your best efforts, your darker half became too powerful. In your final battle, you...""
A) Used all your strength, but ultimately fell
B) Tried to outthink him, but he was too determined
C) Fought until the very end, refusing to surrender
D) Accepted your fate, hoping the universe could still be saved","""As you were absorbed by the corrupted Strange, your final thoughts were...""
A) Regret, knowing you couldn’t stop him
B) Hope, believing that someone else would restore balance
C) Anger, blaming yourself for not being strong enough
D) Acceptance, knowing you did all you could",,,,,,,
15,Clint Barton “Hawkeye”,https://www.personality-database.com/profile/2006/clint-barton-hawkeye-marvel-comics-mbti-personality-type,2006,"['Marvel Comics', 'Marvel vs. Capcom']","Hawkeye (Clinton Francis ""Clint"" Barton) is a fictional superhero appearing in American comic books published by Marvel Comics. Created by writer Stan Lee and artist Don Heck, the character first appeared as a villain in Tales of Suspense #57 (Sept. 1964) and later joined the Avengers in The Avengers #16 (May 1965).",,,,,,,,,,,,,
15,"Clint Barton ""Hawkeye""",https://www.personality-database.com/profile/344993/clint-barton-hawkeye-what-if-2021-mbti-personality-type,344993,['What If...? (2021)'],"Clinton Francis ""Clint"" Barton, also known as Hawkeye, was an extremely skilled marksman, a special agent of S.H.I.E.L.D., and one of the candidates for the Avengers Initiative before being killed by Hank Pym like all other candidates.

#WhatIfShow #WhatIfMarvel #JeremyRenner #ClintBarton #ClintonFrancisBarton #Hawkeye",,,,,,,,,,,,,
16,King T’Challa “Black Panther”,https://www.personality-database.com/profile/2588/king-tchalla-black-panther-mcu-the-heroes-mbti-personality-type,2588,"['MCU: The Heroes', 'Disney Infinity ']","T’Challa is the King of Wakanda and the holder of the protector of his tribe, the Black Panther. After his father was killed in a terrorist attack orchestrated by Colonel Helmut Zemo, T’Challa focused his efforts on killing the man he believed was responsible, James Barnes. This led him to enter the conflict between the Avengers on the side of Anthony Stark's team. However, when he discovered that Zemo had been the culprit in T’Chaka's death, he captured him without being consumed by revenge and helped Barnes recover from his trauma in Wakanda.

#MCU #ChadwickBoseman #TChalla #BlackPanther",,,,,,,,,,,,,
16,T’Challa “Black Panther”,https://www.personality-database.com/profile/2010/tchalla-black-panther-marvel-comics-mbti-personality-type,2010,"['Marvel Comics', 'Marvel vs. Capcom']","Black Panther is a fictional superhero appearing in American comic books published by Marvel Comics. The character was created by writer-editor Stan Lee and writer-artist Jack Kirby, first appearing in Fantastic Four #52 (cover-dated July 1966) in the Silver Age of Comic Books. Black Panther's real name is T'Challa, king, and protector of the fictional African nation of Wakanda.",,,,,,,,,,,,,
16,"T'Challa ""Black Panther""",https://www.personality-database.com/profile/398398/tchalla-black-panther-what-if-2021-mbti-personality-type,398398,['What If...? (2021)'],"T'Challa, better known as Black Panther, was the royal protector of Wakanda and the son of King T'Chaka who died at the hands of his cousin.

T’Challa in Episodes 5 and 6 of What If.

#WhatIfShow #WhatIfMarvel #ChadwickBoseman #TChalla #BlackPanther",,,,,,,,,,,,,
17,"Victor Stone ""Cyborg""",https://www.personality-database.com/profile/1994/victor-stone-cyborg-dc-comics-mbti-personality-type,1994,"['DC Comics', 'Injustice: Gods Among Us']","Cyborg is a fictional superhero appearing in American comic books published by DC Comics . The character was created by writer Marv Wolfman and artist George Pérez and first appears in a special insert in DC Comics Presents #26 (October 1980). Originally known as a member of the Teen Titans, Cyborg was established as a founding member of the Justice League in DC's 2011 reboot of its comic book titles and subsequently in the 2016 relaunch of its continuity.",,,,,,,,,,,,,
17,Cyborg,https://www.personality-database.com/profile/2648/steve-rogers-captain-america-marvel-comics-mbti-personality-type#google_vignette,2648,"['Teen Titans (2003)', 'Teen Titans GO! vs. Teen Titans']","As a teenager, Cyborg was hideously mutilated in a car accident. Fortunately, his parents were foremost experts in cybernetic enhancements, so they integrated their son with a variety of advanced robotic components in order to save his life. For quite some time afterward, he was despondent about his change, and even in the series he remains somewhat unhappy with the loss of his normal life. But he retains a strong zest for life and devotes himself to making the best of his situation, to the extent he usually appears much happier than Robin does. As a cybernetically augmented human, Cyborg has several built in weapons (mainly a sonic cannon), the general resilience you'd expect of someone who's only partly squishy flesh and covered in armor, and super strength, as well as a considerable IQ that he puts to use as a Gadgeteer Genius.",,,,,,,,,,,,,
18,"Hal Jordan ""Green Lantern""",https://www.personality-database.com/profile/1992/hal-jordan-green-lantern-dc-comics-mbti-personality-type,1992,"['DC Comics', 'Injustice: Gods Among Us']","Hal Jordan, also known as Green Lantern, is a fictional superhero appearing in American comic books published by DC Comics. The character was created in 1959 by writer John Broome and artist Gil Kane, and first appeared in Showcase #22 (October 1959). Hal Jordan is a reinvention of the previous Green Lantern who appeared in 1940s comic books as the character Alan Scott.Hal Jordan is a fighter pilot, a member and occasionally leader of an intergalactic police force called the Green Lantern Corps, as well as a founding member of the Justice League, DC's flagship superhero team, alongside well-known heroes such as Batman, Superman, and Wonder Woman.",,,,,,,,,,,,,
18,Green Lantern (Hal Jordan),https://www.personality-database.com/profile/83252/green-lantern-hal-jordan-justice-league-2001-mbti-personality-type,83252,['Justice League (2001)'],"A U.S. Air Force pilot stationed at Broome Lake. In another life, Hal Jordan would have been the Green Lantern that joined the Justice League. During the crisis caused by Chronos's tampering with the timeline, he briefly appeared in place of John Stewart. At some point in the main timeline, he eventually becomes a Green Lantern and joins the Justice League.",,,,,,,,,,,,,
19,Green Arrow (Oliver Queen),https://www.personality-database.com/profile/14668/green-arrow-oliver-queen-justice-league-2001-mbti-personality-type,14668,"['Justice League (2001)', 'DC Animated Universe (Timmverse/Deniverse)']","Green Arrow (Oliver Queen) is a superhero recruited into the Justice League after the Thanagarian invasion. He came from a wealthy background, but held left-wing views from an early age. A skilled archer, he dressed himself as Robin Hood, developed an arsenal of trick arrows with various functions, dubbed himself Green Arrow and became a vigilante.",,,,,,,,,,,,,
19,"Oliver Queen ""Green Arrow""",https://www.personality-database.com/profile/1996/oliver-queen-green-arrow-dc-comics-mbti-personality-type,1996,"['DC Comics', 'Injustice: Gods Among Us']","Green Arrow is a fictional superhero who appears in comic books published by DC Comics. Created by Mort Weisinger and designed by George Papp, he first appeared in More Fun Comics #73 in November 1941. His real name is Oliver Jonas Queen, a wealthy businessman and owner of Queen Industries who is also a well-known celebrity in Star City. Sometimes shown dressed like the character Robin Hood, Green Arrow is an archer who uses his skills to fight crime in his home cities of Star City and Seattle, as well as alongside his fellow superheroes as a member of the Justice League.",,,,,,,,,,,,,
20,Martian Manhunter (J'onn J'onzz),https://www.personality-database.com/profile/1752/martian-manhunter-jonn-jonzz-justice-league-2001-mbti-personality-type,1752,['Justice League (2001)'],"After the conquering race known as the Imperium wiped out all other life on his home planet of Mars, J'onn J'onzz managed to seal them away and set himself as a guard over them to prevent their escape. However, many years later they were unwittingly released by Earth astronauts and set their sights on conquering Earth. With the help of six of Earth's mightiest heroes, J'onn was able to defeat the Imperium and eventually adopted Earth as his new home.",,,,,,,,,,,,,
20,J’onn J’onnz “Martian Manhunter”,https://www.personality-database.com/profile/1995/jonn-jonnz-martian-manhunter-dc-comics-mbti-personality-type,1995,"['DC Comics', 'Scribblenauts']","The Martian Manhunter (J’onn J’onzz) is a fictional superhero appearing in American comic books published by DC Comics. Created by writer Joseph Samachson and designed by artist Joe Certa, the character first appeared in the story “The Manhunter from Mars” in Detective Comics #225 (Nov. 1955). Martian Manhunter is one of the seven original members of the Justice League of America and one of the most powerful beings in the DC Universe.",,,,,,,,,,,,,
21,"Kent Nelson ""Doctor Fate""",https://www.personality-database.com/profile/506747/kent-nelson-doctor-fate-dc-extended-universe-mbti-personality-type,506747,"['DC Extended Universe', 'Black Adam (2022)']","A member of the JSA and the son of an archeologist who learned sorcery and was given the magical Helmet of Fate. Brosnan wore a motion capture suit for the role.

#PierceBrosnan",,,,,,,,,,,,,
21,Doctor Fate (Kent Nelson),https://www.personality-database.com/profile/83268/doctor-fate-kent-nelson-justice-league-2001-mbti-personality-type,83268,['Justice League (2001)'],Doctor Fate was mystical superhero who worked with Superman before. He's later become a member of the Justice League after the Thanagarian invasion who has magic powers.,,,,,,,,,,,,,
